URL,Nor/Mal,has_ip,long_url,is_shortened,has_at_symbol,has_double_slash,has_dash,subdomain_count,is_https,domain_reg_length,has_favicon,non_standard_port
https://nuly.do/6FVa,1,0,20,1,0,0,0,0,1,3,1,0
http://yufsv3.zoeu.uno,1,0,22,1,0,0,0,1,0,1,0,0
http://han.gl/RVeMq,1,0,19,1,0,0,0,0,0,3,1,0
https://han.gl/pxkQl,1,0,20,1,0,0,0,0,1,1,1,1
https://c11.kr/195x9,1,0,20,1,0,0,0,0,1,3,0,0
bmk.ilogensn.com/,1,0,17,1,0,0,0,-1,0,3,1,0
bns.ilogensn.com/,1,0,17,1,0,0,0,-1,0,1,1,1
https://c11.kr/195s9,1,0,20,1,0,0,0,0,1,1,1,1
bsk.ilogensn.com/,1,0,17,1,0,0,0,-1,0,2,0,0
https://c11.kr/195s9,1,0,20,1,0,0,0,0,1,1,1,1
https://han.gl/tWGPM,1,0,20,1,0,0,0,0,1,1,0,1
https://c11.kr/1975j,1,0,20,1,0,0,0,0,1,2,1,0
http://bit.ly/3PAhAYO,1,0,21,1,0,0,0,0,0,1,0,0
http://gtzt5.hnztu.beauty,1,0,25,1,0,0,0,1,0,3,0,0
http://m04.x7hz.black,1,0,21,1,0,0,0,1,0,1,0,0
bsk.ilogensn.com/,1,0,17,1,0,0,0,-1,0,4,1,1
http://dfse.oksn.miami,1,0,22,1,0,0,0,1,0,1,1,0
nso.ilogenboi.com/,1,0,18,1,0,0,0,-1,0,3,0,1
http://st21.bxg9.wtf,1,0,20,1,0,0,0,1,0,1,1,0
http://bfzsw.nksh.beauty,1,0,24,1,0,0,0,1,0,3,0,0
c15.zty5.show,1,0,13,1,0,0,0,-1,0,4,0,1
bsk.ilogensn.com/,1,0,17,1,0,0,0,-1,0,2,1,0
noy.sue9.work,1,0,13,1,0,0,0,-1,0,3,0,1
aabr.to7t.cyou,1,0,14,1,0,0,0,-1,0,1,1,0
http://ssur.cc/GR9et,1,0,20,1,0,0,0,0,0,4,1,0
http://wwmae.pmquu.com,1,0,22,1,0,0,0,1,0,3,1,0
http://opb72.twkx.asia,1,0,22,1,0,0,0,1,0,3,0,0
http://vds.ilogenis.com/,1,0,24,1,0,0,0,1,0,3,1,0
http://vds.ilogenis.com,1,0,23,1,0,0,0,1,0,1,1,0
vds.ilogenis.com/,1,0,17,1,0,0,0,-1,0,2,1,0
http://pks.ilogenis.com,1,0,23,1,0,0,0,1,0,4,0,1
vdw.ilogenis.com/,1,0,17,1,0,0,0,-1,0,1,1,1
kmg.lottegskkm.com,1,0,18,1,0,0,0,-1,0,3,0,0
pks.ilogenis.com/,1,0,17,1,0,0,0,-1,0,4,1,1
vds.ilogenis.com/,1,0,17,1,0,0,0,-1,0,3,1,0
http://ncsz.erox.agency,1,0,23,1,0,0,0,1,0,4,1,0
https://c11.kr/195x9,1,0,20,1,0,0,0,0,1,2,1,1
https://bit.ly/3b4JT2u,1,0,22,1,0,0,0,0,1,4,1,1
http://fds.cjthemadm.com/cqv6ux,1,0,31,1,0,0,0,1,0,1,1,1
https://bit.ly/3mQIMqo,1,0,22,1,0,0,0,0,1,1,0,0
nsw.ilogenbi.com/,1,0,17,1,0,0,0,-1,0,1,0,0
